borrower,symbol,token_address,total_borrowed_amt
0x5846ac5619d2a762751b1663d86a402085505765,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,3850817.2395
0x962bdd83c3943fe08b62101fd9f9a8b923a0b475,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3778393.0940895937
0xda7176d42d075e6e99f6c202a7f6d2c48065879e,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3769830.294344554
0x6f2c6b357c5a1ab61a34cb6bcf1e7acd821e9ba2,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,3700785.399
0x1898036f5dd9cf2ebd1595a6e3fc006a40a9e108,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,3688967.1547056837
0xa7bf267a672e3cd2664e73a1a882de33cdfe49d9,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3649889.521213233
0xfd1043098584cbc763f4d2460aecb94dd4b6fee3,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,3500742.9450000003
0x0945260089850bc72432072501c6f545f6b64cec,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,3499763.995
0x346ccfdee95c7bd36b60bfe028d0f40d3517f22f,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3337925.433315951
0x1e2ac461edc05bdc7b471cf93aeceec91f32ed29,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,3200679.264
0x85cb649808e0c701715c9d2f67266fdcfa6c0d6f,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,3000636.81
0xb7387e11060d14fe5db69880f24ce66d1f8cfe1a,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,3000636.81
0x9407253bbd6f8ce7c1f061792a495a54e5cbb911,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,3000636.81
0x4444ee1efbcfc7716754d4df119a1dbbe29934b3,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,3000636.81
0x933adedd85824da75ec8a334a7907e69e7c02833,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2939801.7558
0x06c05fbac28826fa24b5fe806f239277d8b5a9fd,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,2869880.82
0x1898036f5dd9cf2ebd1595a6e3fc006a40a9e108,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2741037.855322611
0xd08e3d31f178c4e663e6caf686900def2d885cb5,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,2674576.31004781
0x96c9487af21d18ac5f4c841af44a011968445709,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,2610666.5344556705
0x4add97ea96b80f7d29c116e6921d373b8890a1b3,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,2583020.2494799444
0x09d63d136a0a98960cee7835d2f794a89ea71697,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2399838.168
0x61df5e894fca51fabf9850c96057dc9f1d018f5d,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2323283.5884753997
0xb17b3f999c9f6181cd2a573cdfdb119ee1158a6b,tBTC,0x18084fba666a33d37592fa2633fd49a74dd93a88,2153805.742680745
0x30c6a0d4c26e883a873852fde2475a90ee7dbfcf,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,2149674.8
0xc6877a65349b0fa45cc61a267ee682c7abf2b369,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2070310.3895565001
0xa260b049ddd6567e739139404c7554435c456d9e,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,2019584.1209408254
0x4444ee1efbcfc7716754d4df119a1dbbe29934b3,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2012211.3074417901
0x3b94e9fa105551b700e4965bf13db3153bb26557,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,2000424.54
0x5ad7b98466d066d39a950f112f907a694078df36,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1924557.6754265637
0x61df5e894fca51fabf9850c96057dc9f1d018f5d,DAI,0x6b175474e89094c44da98b954eedeac495271d0f,1915620.051963263
0x1229966c7ea6dbaf6cb2d1227d9206da6046dc46,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1866795.3586545
